id,name,type,buyable,sellable,chainId,sellCommand,dexName,category,blockchain,uniqueName,description,comingSoon,sortOrder,approxPriceUsd,ikna,priceRuleId,approxPriceChf,cardBuyable,cardSellable,instantBuyable,instantSellable,financialType,decimals,paymentEnabled,amlRuleFrom,amlRuleTo,approxPriceEur,refundEnabled
276,EUR,Custody,FALSE,FALSE,,,EUR,Private,Kraken,Kraken/EUR,,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,,FALSE,0,0,1,TRUE
275,CHF,Custody,FALSE,FALSE,,,CHF,Private,Kraken,Kraken/CHF,,FALSE,,1.268227427,FALSE,37,1,FALSE,FALSE,FALSE,FALSE,CHF,,FALSE,0,0,1.076714309,TRUE
274,USDC,Custody,FALSE,FALSE,,,USDC,Private,Kraken,Kraken/USDC,,FALSE,,1,FALSE,5,0.7885021082,FALSE,FALSE,FALSE,FALSE,USD,,FALSE,0,0,0.8489915028,TRUE
273,USDT,Custody,FALSE,FALSE,,,USDT,Private,Kraken,Kraken/USDT,,FALSE,,1,FALSE,40,0.78851,FALSE,FALSE,FALSE,FALSE,USD,,FALSE,0,0,0.849,TRUE
272,ETH,Custody,FALSE,FALSE,,,ETH,Private,Kraken,Kraken/ETH,,FALSE,,2922.079246,FALSE,6,2304.065646,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,2480.82045,TRUE
271,EUR,Custody,FALSE,FALSE,,,EUR,Private,Checkout,Checkout/EUR,,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,,FALSE,0,0,1,TRUE
270,CHF,Custody,FALSE,FALSE,,,CHF,Private,Checkout,Checkout/CHF,,FALSE,,1.268227427,FALSE,37,1,FALSE,FALSE,FALSE,FALSE,CHF,,FALSE,0,0,1.076714309,TRUE
269,EUR,Custody,FALSE,FALSE,,,EUR,Private,Olkypay,Olkypay/EUR,,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,,FALSE,0,0,1,TRUE
268,CHF,Custody,FALSE,FALSE,,,CHF,Private,MaerkiBaumann,MaerkiBaumann/CHF,,FALSE,,1.268227427,FALSE,37,1,FALSE,FALSE,FALSE,FALSE,CHF,,FALSE,0,0,1.076714309,TRUE
267,EUR,Custody,FALSE,FALSE,,,EUR,Private,MaerkiBaumann,MaerkiBaumann/EUR,,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,,FALSE,0,0,1,TRUE
